simulation_x,simulation_y,simulation_z,simulation_vx,simulation_vy,simulation_vz,Object_type
0,100,0,0,0,0,RV
0,100.04905,0,0,0.981,0,RV
0,100.1962,0,0,1.962,0,RV
0,100.44145,0,0,2.943,0,RV
0,100.7848,0,0,3.924,0,RV
0,101.22625,0,0,4.905,0,RV
0,101.7658,0,0,5.886,0,RV
0,102.40345,0,0,6.867,0,RV
0,103.1392,0,0,7.848,0,RV
0,103.97305,0,0,8.829,0,RV
0,104.905,0,0,9.81,0,RV
0,105.93505,0,0,10.791,0,RV
0,107.0632,0,0,11.772,0,RV
0,108.28945,0,0,12.753,0,RV
0,109.6138,0,0,13.734,0,RV
0,111.03625,0,0,14.715,0,RV
0,112.5568,0,0,15.696,0,RV
0,114.17545,0,0,16.677,0,RV
0,115.8922,0,0,17.658,0,RV
0,117.70705,0,0,18.639,0,RV
0,119.62,0,0,19.62,0,RV
0,121.63105,0,0,20.601,0,RV
0,123.7402,0,0,21.582,0,RV
0,125.94745,0,0,22.563,0,RV
0,128.2528,0,0,23.544,0,RV
0,130.65625,0,0,24.525,0,RV
0,133.1578,0,0,25.506,0,RV
0,135.75745,0,0,26.487,0,RV
0,138.4552,0,0,27.468,0,RV
0,141.25105,0,0,28.449,0,RV
0,144.145,0,0,29.43,0,RV
0,147.13705,0,0,30.411,0,RV
0,150.2272,0,0,31.392,0,RV
0,153.41545,0,0,32.373,0,RV
0,156.7018,0,0,33.354,0,RV
0,160.08625,0,0,34.335,0,RV
0,163.5688,0,0,35.316,0,RV
0,167.14945,0,0,36.297,0,RV
0,170.8282,0,0,37.278,0,RV
0,174.60505,0,0,38.259,0,RV
0,178.48,0,0,39.24,0,RV
0,182.45305,0,0,40.221,0,RV
0,186.5242,0,0,41.202,0,RV
0,190.69345,0,0,42.183,0,RV
0,194.9608,0,0,43.164,0,RV
0,199.32625,0,0,44.145,0,RV
0,203.7898,0,0,45.126,0,RV
0,208.35145,0,0,46.107,0,RV
0,213.0112,0,0,47.088,0,RV
0,217.76905,0,0,48.069,0,RV
1032.4786,-5687.8731,0,0,49.05,0,RV
1032.4786,-5682.9191,0,0,50.031,0,RV
1032.4786,-5677.8669,0,0,51.012,0,RV
1032.4786,-5672.7167,0,0,51.993,0,RV
1032.4786,-5667.4683,0,0,52.974,0,RV
1032.4786,-5662.1219,0,0,53.955,0,RV
1032.4786,-5656.6773,0,0,54.936,0,RV
1032.4786,-5651.1347,0,0,55.917,0,RV
1032.4786,-5645.4939,0,0,56.898,0,RV
1032.4786,-5639.7551,0,0,57.879,0,RV
1032.4786,-5633.9181,0,0,58.86,0,RV
1032.4786,-5627.9831,0,0,59.841,0,RV
1032.4786,-5621.9499,0,0,60.822,0,RV
1032.4786,-5615.8187,0,0,61.803,0,RV
1032.4786,-5609.5893,0,0,62.784,0,RV
1032.4786,-5603.2619,0,0,63.765,0,RV
1032.4786,-5596.8363,0,0,64.746,0,RV
1032.4786,-5590.3127,0,0,65.727,0,RV
1032.4786,-5583.6909,0,0,66.708,0,RV
1032.4786,-5576.9711,0,0,67.689,0,RV
1032.4786,-5570.1531,0,0,68.67,0,RV
1032.4786,-5563.2371,0,0,69.651,0,RV
1032.4786,-5556.2229,0,0,70.632,0,RV
1032.4786,-5549.1107,0,0,71.613,0,RV
1032.4786,-5541.9003,0,0,72.594,0,RV
1032.4786,-5534.5919,0,0,73.575,0,RV
1032.4786,-5527.1853,0,0,74.556,0,RV
1032.4786,-5519.6807,0,0,75.537,0,RV
1032.4786,-5512.0779,0,0,76.518,0,RV
1032.4786,-5504.3771,0,0,77.499,0,RV
1032.4786,-5496.5781,0,0,78.48,0,RV
1032.4786,-5488.6811,0,0,79.461,0,RV
1032.4786,-5480.6859,0,0,80.442,0,RV
1032.4786,-5472.5927,0,0,81.423,0,RV
1032.4786,-5464.4013,0,0,82.404,0,RV
1032.4786,-5456.1119,0,0,83.385,0,RV
1032.4786,-5447.7243,0,0,84.366,0,RV
1032.4786,-5439.2387,0,0,85.347,0,RV
1032.4786,-5430.6549,0,0,86.328,0,RV
1032.4786,-5421.9731,0,0,87.309,0,RV
1032.4786,-5413.1931,0,0,88.29,0,RV
1032.4786,-5404.3151,0,0,89.271,0,RV
1032.4786,-5395.3389,0,0,90.252,0,RV
1032.4786,-5386.2647,0,0,91.233,0,RV
1032.4786,-5377.0923,0,0,92.214,0,RV
1032.4786,-5367.8219,0,0,93.195,0,RV
1032.4786,-5358.4533,0,0,94.176,0,RV
1032.4786,-5348.9867,0,0,95.157,0,RV
1032.4786,-5339.4219,0,0,96.138,0,RV
1032.4786,-5329.7591,0,0,97.119,0,RV
1032.4786,-5319.9981,0,0,98.1,0,RV
